replica,qps,p50,p90,p99,successes
0,67093.30136205434,0.00043662698238781857,0.0006792248576256337,0.0014914109066043652,1006423
1,71886.62817193591,0.0004192899568034557,0.0006155594573928803,0.0008959302475384187,1078326
2,70756.9700948759,0.0004286366058345544,0.000625079118833385,0.000882927971636499,1061378
3,74305.3412962996,0.0004046431481543493,0.0005944476943815652,0.0008695794447725932,1114610
4,73403.00973659244,0.00041050178478676494,0.0005986434585651681,0.0008774169167500281,1101080
5,72288.22211184735,0.00041830415551285627,0.0006084950799595573,0.0008811148613563199,1084345
6,73712.72908039896,0.0004093261122936422,0.0005968724154631366,0.0008680001181195364,1105711
7,74079.71365968649,0.0004077171570197679,0.000594851452864972,0.0008646414497689132,1111218
8,73140.36339006123,0.0004139165699479068,0.0005990284207547965,0.0008631845365737428,1097129
9,73624.11492058492,0.00041138821015693954,0.0005958283368805108,0.0008514697476828008,1104383
