replica,qps,p50,p90,p99,successes
0,52171.33249613692,0.00043096585520075874,0.0006571359361165405,0.0009779467258601558,782590
1,54576.83821600092,0.0004125867573048899,0.0006186024207817274,0.0009387543750000003,818679
2,52650.685614612674,0.0004252406653349723,0.0006505998003086138,0.0009913135822081018,789781
3,52443.925885620905,0.00042814173049215135,0.0006497368468258381,0.0009921766132945172,786672
4,57030.05002530452,0.00039239721037987075,0.0005900986862020948,0.0009135598130841129,855464
5,58319.92522987393,0.0003843897895766926,0.0005774731024559337,0.0008963299947970859,874815
6,59839.5986963282,0.0003748797125281686,0.0005736449736165606,0.0008767892176199871,897618
7,52342.55073483987,0.00041449414684043034,0.0006928326960012458,0.0014008184303006643,785152
8,51722.20979898228,0.0004339648790781805,0.0006693789995775507,0.0009838779856115106,775848
9,54149.12682179868,0.0004153186573567498,0.0006334566003786104,0.0009516472019464723,812249
10,52504.99361819956,0.00042951274702066674,0.000647168125970908,0.0009640960413080892,787602
11,51753.916716060216,0.0004358840751655249,0.0006571461970850122,0.0009662090011332364,776327
12,56579.58400795391,0.0003972857777777777,0.0005901399112804673,0.0008938854925373132,848709
13,57464.699646354326,0.00039162490312580724,0.000581942178637257,0.0008812581298070434,861996
14,55513.46081417783,0.000404727051685633,0.0006088010493179432,0.0009238704584775084,832723
15,56337.075467657654,0.0003987907779270839,0.000596276384208217,0.0008971100032869507,845077
16,53262.8011898838,0.00042143192655046103,0.0006465057880356629,0.0009723353746978239,798959
17,56169.79606539292,0.00040073483415498725,0.0005965426049327721,0.0008971984988452653,842561
18,55809.37477401751,0.00040073090170580927,0.0005996739089220035,0.0009329324379324375,837170
19,56125.951084288594,0.0003989294396499331,0.0005960029895652673,0.0009159688612099632,841904
