ts,name,cpu_perc,mem_usage
1787071705,agwbench-mock,1119.03%,11.3MiB / 1.106TiB
1787071705,agwbench-mock2,987.91%,11.88MiB / 1.106TiB
1787071705,agwbench-agw-0,574.30%,22.45MiB / 1.106TiB
1787071705,agwbench-agw-1,604.18%,22.55MiB / 1.106TiB
1787071705,agwbench-agw-2,536.90%,22.29MiB / 1.106TiB
1787071705,agwbench-agw-3,566.37%,22.01MiB / 1.106TiB
1787071705,agwbench-agw-4,537.13%,22.17MiB / 1.106TiB
1787071705,agwbench-agw-5,543.57%,21.59MiB / 1.106TiB
1787071705,agwbench-agw-6,553.66%,21.96MiB / 1.106TiB
1787071705,agwbench-agw-7,527.15%,21.78MiB / 1.106TiB
1787071705,agwbench-agw-8,563.50%,22.38MiB / 1.106TiB
1787071705,agwbench-agw-9,458.56%,22.16MiB / 1.106TiB
1787071705,agwbench-agw-10,554.49%,22.77MiB / 1.106TiB
1787071705,agwbench-agw-11,550.01%,21.85MiB / 1.106TiB
1787071705,agwbench-agw-12,569.11%,21.82MiB / 1.106TiB
1787071705,agwbench-agw-13,582.37%,21.13MiB / 1.106TiB
1787071705,agwbench-agw-14,550.47%,23.04MiB / 1.106TiB
1787071705,agwbench-agw-15,569.80%,21.96MiB / 1.106TiB
1787071705,agwbench-agw-16,529.67%,22.88MiB / 1.106TiB
1787071705,agwbench-agw-17,598.86%,22.28MiB / 1.106TiB
1787071705,agwbench-agw-18,549.39%,22.75MiB / 1.106TiB
1787071705,agwbench-agw-19,551.77%,22.17MiB / 1.106TiB
1787071708,agwbench-mock,1041.29%,11.38MiB / 1.106TiB
1787071708,agwbench-mock2,1009.26%,11.92MiB / 1.106TiB
1787071708,agwbench-agw-0,564.63%,24.05MiB / 1.106TiB
1787071708,agwbench-agw-1,600.37%,22.82MiB / 1.106TiB
1787071708,agwbench-agw-2,561.19%,22.65MiB / 1.106TiB
1787071708,agwbench-agw-3,586.27%,22.81MiB / 1.106TiB
1787071708,agwbench-agw-4,561.76%,22.41MiB / 1.106TiB
1787071708,agwbench-agw-5,567.47%,23.05MiB / 1.106TiB
1787071708,agwbench-agw-6,545.34%,23.27MiB / 1.106TiB
1787071708,agwbench-agw-7,531.98%,23.42MiB / 1.106TiB
1787071708,agwbench-agw-8,549.09%,23.51MiB / 1.106TiB
1787071708,agwbench-agw-9,438.06%,22.71MiB / 1.106TiB
1787071708,agwbench-agw-10,566.74%,23.38MiB / 1.106TiB
1787071708,agwbench-agw-11,551.23%,22.11MiB / 1.106TiB
1787071708,agwbench-agw-12,584.39%,22.57MiB / 1.106TiB
1787071708,agwbench-agw-13,583.54%,22.63MiB / 1.106TiB
1787071708,agwbench-agw-14,569.24%,24.33MiB / 1.106TiB
1787071708,agwbench-agw-15,587.42%,22.98MiB / 1.106TiB
1787071708,agwbench-agw-16,506.20%,23.75MiB / 1.106TiB
1787071708,agwbench-agw-17,602.11%,23.69MiB / 1.106TiB
1787071708,agwbench-agw-18,556.13%,23.56MiB / 1.106TiB
1787071708,agwbench-agw-19,566.24%,22.07MiB / 1.106TiB
1787071712,agwbench-mock,1013.38%,11.4MiB / 1.106TiB
1787071712,agwbench-mock2,1009.92%,11.9MiB / 1.106TiB
1787071712,agwbench-agw-0,568.42%,24.68MiB / 1.106TiB
1787071712,agwbench-agw-1,615.22%,23.35MiB / 1.106TiB
1787071712,agwbench-agw-2,554.41%,23.23MiB / 1.106TiB
1787071712,agwbench-agw-3,582.42%,23.64MiB / 1.106TiB
1787071712,agwbench-agw-4,550.11%,22.98MiB / 1.106TiB
1787071712,agwbench-agw-5,557.05%,23.58MiB / 1.106TiB
1787071712,agwbench-agw-6,530.08%,23.19MiB / 1.106TiB
1787071712,agwbench-agw-7,517.92%,23.38MiB / 1.106TiB
1787071712,agwbench-agw-8,559.42%,23.63MiB / 1.106TiB
1787071712,agwbench-agw-9,472.68%,23.7MiB / 1.106TiB
1787071712,agwbench-agw-10,559.33%,23.83MiB / 1.106TiB
1787071712,agwbench-agw-11,550.65%,22.77MiB / 1.106TiB
1787071712,agwbench-agw-12,572.91%,23.33MiB / 1.106TiB
1787071712,agwbench-agw-13,574.80%,23.31MiB / 1.106TiB
1787071712,agwbench-agw-14,548.79%,24.71MiB / 1.106TiB
1787071712,agwbench-agw-15,573.52%,23.19MiB / 1.106TiB
1787071712,agwbench-agw-16,518.39%,23.86MiB / 1.106TiB
1787071712,agwbench-agw-17,602.95%,23.64MiB / 1.106TiB
1787071712,agwbench-agw-18,552.28%,24.62MiB / 1.106TiB
1787071712,agwbench-agw-19,554.72%,23.12MiB / 1.106TiB
