replica,port,cores,backend,qps,p50_ms,p90_ms,p99_ms,successes
0,4001,0-7,mock-server,56854.2834588044,0.3977894753582163,0.592048011322398,0.8753854763315556,1705670
1,4002,8-15,mock-server,59191.44568854157,0.3825520794983639,0.5715342417179001,0.8473271126191625,1775785
2,4003,16-23,mock-server,56613.9054616169,0.39633566401538856,0.5935766342914914,0.8963525827045851,1698445
3,4004,24-31,mock-server,58183.5622073067,0.38813713375778003,0.5758344429194747,0.8668063439065106,1745526
4,4005,32-39,mock-server,53008.829400944196,0.4257617602427921,0.6424193275590411,0.9541156380510444,1590304
5,4006,40-47,mock-server,52570.9226934829,0.4293375495442494,0.6466841776989097,0.9633808463251675,1577150
6,4007,48-55,mock-server,51968.608166295795,0.433663189085746,0.6640105875627461,0.9738667200640766,1559074
7,4008,56-63,mock-server,50565.77345954372,0.4428829902585109,0.6850581553805696,1.0748159203980057,1516996
8,4009,64-71,mock-server,53505.17973050294,0.422066353999665,0.6426911721542152,0.9453563374805605,1605174
9,4010,72-79,mock-server,46221.07104712845,0.4725878367975365,0.7869171939727774,1.698141166758393,1386646
10,4011,80-87,mock-server-2,52809.9269427571,0.4271875949110788,0.6442568807339449,0.9626629834254153,1584312
11,4012,88-95,mock-server-2,51790.5838561564,0.4351972622323336,0.6583605868964532,0.9765098774107906,1553738
12,4013,96-103,mock-server-2,56741.35044707927,0.3958456551835494,0.5905219108242714,0.8993427811198523,1702262
13,4014,104-111,mock-server-2,57350.91527982673,0.3923762130970769,0.5848005640612409,0.887883568423657,1720550
14,4015,112-119,mock-server-2,52379.79369455913,0.4299581117607899,0.6573555439443325,0.9697075426182056,1571417
15,4016,120-127,mock-server-2,53716.24284320955,0.419858149901517,0.6358017220672197,0.9423984193398415,1611505
16,4017,128-135,mock-server-2,50450.708068568994,0.4399564875526414,0.6935412633704555,1.2960509826260342,1513539
17,4018,136-143,mock-server-2,57089.77474898096,0.39344911020917883,0.5928628353159869,0.898350901209217,1712712
18,4019,144-151,mock-server-2,56242.610550982055,0.3972707379747851,0.5979328723012163,0.9290850474261961,1687295
19,4020,152-159,mock-server-2,56001.393512196795,0.39893706557432335,0.5981925188134218,0.9333201196709042,1680057
